Latitude,Longitude,NO2,Date,City
23.040375,72.70284,8.117344,12-08-2024 00:00,Ahmedabad
23.044867,72.76257,8.718259999999999,12-08-2024 00:00,Ahmedabad
23.075933,72.51653,12.712896,12-08-2024 00:00,Ahmedabad
23.080494,72.57475,11.854989000000002,12-08-2024 00:00,Ahmedabad
23.085032,72.63348,11.701177,12-08-2024 00:00,Ahmedabad
23.089546,72.6927,8.887108999999999,12-08-2024 00:00,Ahmedabad
23.094036,72.75246,9.20258,12-08-2024 00:00,Ahmedabad
22.905754,72.683655,9.980383,13-08-2024 00:00,Ahmedabad
22.912264,72.71909,9.718587,13-08-2024 00:00,Ahmedabad
22.91875,72.7546,8.609611999999998,13-08-2024 00:00,Ahmedabad
22.925217,72.79018,9.611582,13-08-2024 00:00,Ahmedabad
22.928759,72.530556,7.818274,13-08-2024 00:00,Ahmedabad
22.935356,72.56576,9.911731,13-08-2024 00:00,Ahmedabad
22.941933,72.60102,11.190778,13-08-2024 00:00,Ahmedabad
22.948486,72.636345,10.159328,13-08-2024 00:00,Ahmedabad
22.955017,72.67174,10.736867,13-08-2024 00:00,Ahmedabad
22.961527,72.70719,9.324651,13-08-2024 00:00,Ahmedabad
22.968014,72.742714,10.263925,13-08-2024 00:00,Ahmedabad
22.97448,72.7783,13.011442,13-08-2024 00:00,Ahmedabad
22.978018,72.51857,13.738955,13-08-2024 00:00,Ahmedabad
22.984615,72.55379,11.485984,13-08-2024 00:00,Ahmedabad
22.991192,72.589066,17.597830000000002,13-08-2024 00:00,Ahmedabad
22.997746,72.624405,18.93957,13-08-2024 00:00,Ahmedabad
23.004278,72.659805,21.921676,13-08-2024 00:00,Ahmedabad
23.010788,72.69527,14.236705,13-08-2024 00:00,Ahmedabad
23.017275,72.730804,10.764587,13-08-2024 00:00,Ahmedabad
23.023743,72.7664,9.899018,13-08-2024 00:00,Ahmedabad
23.027279,72.506584,16.910899,13-08-2024 00:00,Ahmedabad
23.033878,72.54182,15.126482,13-08-2024 00:00,Ahmedabad
23.040455,72.5771,13.7931065,13-08-2024 00:00,Ahmedabad
23.04701,72.61246,21.313524,13-08-2024 00:00,Ahmedabad
23.053541,72.64787,19.963796,13-08-2024 00:00,Ahmedabad
23.060053,72.68335,16.904607,13-08-2024 00:00,Ahmedabad
23.066542,72.718895,15.814798,13-08-2024 00:00,Ahmedabad
23.073008,72.75451,13.989805,13-08-2024 00:00,Ahmedabad
23.079454,72.7902,11.446128,13-08-2024 00:00,Ahmedabad
23.083145,72.52983,15.275573,13-08-2024 00:00,Ahmedabad
23.089724,72.56513,15.784028,13-08-2024 00:00,Ahmedabad
23.096277,72.600494,13.927223,13-08-2024 00:00,Ahmedabad
22.904913,72.58629,10.866336,14-08-2024 00:00,Ahmedabad
22.906572,72.7643,10.1188425,14-08-2024 00:00,Ahmedabad
22.917736,72.627655,9.701738,14-08-2024 00:00,Ahmedabad
22.930458,72.66883,9.790217,14-08-2024 00:00,Ahmedabad
22.940968,72.53102,11.5395205,14-08-2024 00:00,Ahmedabad
22.943077,72.70983,10.876396,14-08-2024 00:00,Ahmedabad
22.9539,72.57258,12.913302,14-08-2024 00:00,Ahmedabad
22.955597,72.750656,10.862725,14-08-2024 00:00,Ahmedabad
22.966728,72.61395,22.205133,14-08-2024 00:00,Ahmedabad
22.96802,72.79131,10.35798,14-08-2024 00:00,Ahmedabad
22.979452,72.65514,19.596335,14-08-2024 00:00,Ahmedabad
22.989964,72.517265,13.5732525,14-08-2024 00:00,Ahmedabad
22.992075,72.69616,13.110754,14-08-2024 00:00,Ahmedabad
23.0029,72.55884,18.51201,14-08-2024 00:00,Ahmedabad
23.004599,72.737,11.345122,14-08-2024 00:00,Ahmedabad
23.015732,72.60023,31.070744,14-08-2024 00:00,Ahmedabad
23.017025,72.77767,13.719079,14-08-2024 00:00,Ahmedabad
23.02846,72.64143,34.439086,14-08-2024 00:00,Ahmedabad
23.039019,72.503525,13.040379,14-08-2024 00:00,Ahmedabad
23.041086,72.682465,23.775667,14-08-2024 00:00,Ahmedabad
23.051956,72.54511,13.0855915,14-08-2024 00:00,Ahmedabad
23.053614,72.72331,15.564417,14-08-2024 00:00,Ahmedabad
23.064793,72.58652,17.747806999999998,14-08-2024 00:00,Ahmedabad
23.066042,72.764,12.160284,14-08-2024 00:00,Ahmedabad
23.077524,72.62774,19.040728,14-08-2024 00:00,Ahmedabad
23.090153,72.668785,20.70537,14-08-2024 00:00,Ahmedabad
22.914253,72.73821,10.566518,15-08-2024 00:00,Ahmedabad
22.90093,72.57097,9.908704,15-08-2024 00:00,Ahmedabad
22.932022,72.647316,8.812696,15-08-2024 00:00,Ahmedabad
22.962645,72.722755,9.629322,15-08-2024 00:00,Ahmedabad
22.992807,72.7973,11.067635,15-08-2024 00:00,Ahmedabad
22.949308,72.555466,9.920156,15-08-2024 00:00,Ahmedabad
22.980413,72.63184,12.378882,15-08-2024 00:00,Ahmedabad
23.011047,72.707306,11.843972,15-08-2024 00:00,Ahmedabad
23.041222,72.781876,11.06045,15-08-2024 00:00,Ahmedabad
22.997786,72.54002,12.733718,15-08-2024 00:00,Ahmedabad
23.028902,72.616425,12.073881,15-08-2024 00:00,Ahmedabad
23.059546,72.6919,10.522094,15-08-2024 00:00,Ahmedabad
23.089733,72.766495,9.932101,15-08-2024 00:00,Ahmedabad
23.04624,72.52449,10.695672,15-08-2024 00:00,Ahmedabad
23.077368,72.600914,11.242677,15-08-2024 00:00,Ahmedabad
23.094666,72.50902,15.64755,15-08-2024 00:00,Ahmedabad
22.9065,72.55559,13.32601,16-08-2024 00:00,Ahmedabad
22.91939,72.52324,13.479143,16-08-2024 00:00,Ahmedabad
